400,2.977084,0,
401,2.935353,0,
402,2.900252,0,
403,2.895052,0,
404,2.879581,0,
405,2.871651,0,
406,2.83265,0,
407,2.797549,0,
408,2.755948,0,
409,2.701477,0,
410,2.671446,0,
411,2.616844,0,
412,2.601374,0,
413,2.554442,0,
414,2.510241,0,
415,2.47267,0,
416,2.450569,0,
417,2.430939,0,
418,2.405068,0,
419,2.381537,0,
420,2.373867,0,
421,2.341236,0,
422,2.317836,0,
423,2.354237,0,
424,2.381537,0,
425,2.358137,0,
426,2.389338,0,
427,2.392068,0,
428,2.428469,0,
429,2.519341,0,
430,2.524541,0,
431,2.576543,0,
432,2.650775,0,
433,2.753478,0,
434,2.83538,0,
435,2.964084,0,
436,3.077057,0,
437,3.244892,0,
438,3.369565,0,
439,3.5491,0,
440,3.740076,0,
441,3.965112,0,
442,4.124887,0,
443,4.351223,0,
444,4.565599,0,
445,4.810136,0,
446,5.064813,0,
447,5.350821,0,
448,5.679731,0,
449,6.00877,0,
450,6.384351,0,
451,6.760191,0,
452,7.172173,0,
453,7.603915,0,
454,8.040728,0,
455,8.498341,0,
456,8.972855,0,
457,9.501969,0,
458,10.00118,0,
459,10.50937,0,
460,11.13468,0,
461,11.7197,0,
462,12.35425,0,
463,13.02767,0,
464,13.64896,0,
465,14.37711,0,
466,15.05963,0,
467,15.77075,0,
468,16.54037,0,
469,17.35536,0,
470,18.17568,0,
471,19.02721,0,
472,19.97117,0,
473,20.95906,0,
474,22.04212,0,
475,23.14702,0,
476,24.35216,0,
477,25.62749,0,
478,27.09394,0,
479,28.59301,0,
480,30.20765,0,
481,31.8847,0,
482,33.65522,0,
483,35.49347,0,
484,37.40713,0,
485,39.42089,0,
486,41.42684,0,
487,43.58894,0,
488,45.7509,0,0.512063188
489,48.03376,0,
490,50.28412,0,
491,52.61626,0,
492,54.91745,0,
493,57.18719,0,
494,59.36228,0,
495,61.53854,0,
496,63.61197,0,
497,65.46596,0,
498,67.20788,0,
499,68.69771,0,
500,70.09929,0.8141565,
501,71.24969,0.9738615,
502,72.23915,1.097208,
503,73.03217,1.297803,
504,73.69506,1.517765,
505,74.27877,1.804102,
506,74.80152,2.099386,
507,75.35403,2.415059,
508,75.96505,2.790762,
509,76.73064,3.263762,
510,77.62389,3.772439,
511,78.72113,4.289159,
512,79.96253,4.917333,
513,81.4473,5.523306,
514,83.02165,6.478932,
515,84.7507,7.477146,
516,86.61353,8.685468,
517,88.60127,10.11557,
518,90.58514,11.60218,
519,92.53129,13.24307,
520,94.37097,14.84986,
521,96.08442,16.87698,
522,97.58987,19.38435,
523,98.65199,21.75082,
524,99.54642,24.42322,
525,100,27.31479,
526,99.948,30.28168,
527,99.43058,33.9583,
528,98.39329,37.33669,
529,96.84235,41.62007,
530,94.85719,45.52401,
531,92.31419,49.60147,
532,89.3462,53.93809,1
533,85.92593,58.78996,
534,82.19209,63.23542,
535,78.00468,67.9132,
536,73.62096,72.94776,
537,68.92522,76.93552,
538,64.26459,81.17043,
539,59.41948,84.88544,
540,54.70412,87.86649,
541,50.05272,91.07916,
542,45.50896,94.04333,
543,41.24627,95.33604,
544,37.08095,97.41029,
545,33.25871,98.18276,
546,29.63434,99.36945,
547,26.31651,100,
548,23.22243,99.70709,
549,20.50795,98.94991,
550,18.04438,97.42036,
551,15.84212,95.84291,
552,13.93119,94.57342,
553,12.26442,92.69672,
554,10.77081,90.6235,
555,9.469337,88.89936,
556,8.346107,86.17078,
557,7.333378,83.98044,
558,6.458453,80.94797,
559,5.705731,78.66317,
560,5.038813,75.77828,
561,4.453926,72.66539,0.049850201
562,4.015684,69.98597,
563,3.598502,67.5136,
564,3.308594,64.73495,
