300,42.53931,0
301,37.06496,0
302,32.54399,0
303,29.09491,0
304,26.4122,0
305,24.28012,0
306,22.63973,0
307,21.41422,0
308,20.25042,0
309,19.46342,0
310,18.74428,0
311,18.03366,0
312,17.34623,0
313,16.80368,0
314,16.32944,0
315,15.81456,0
316,15.32925,0
317,14.84841,0
318,14.58246,0
319,14.44203,0
320,14.02736,0
321,13.76545,0
322,13.74864,0
323,13.6229,0
324,13.46759,0
325,13.34844,0
326,13.47418,0
327,13.32504,0
328,13.34227,0
329,13.52524,0
330,13.39737,0
331,13.43354,0
332,13.42737,0
333,13.41865,0
334,13.37397,0
335,13.42291,0
336,13.53992,0
337,13.57205,0
338,13.65503,0
339,13.7229,0
340,13.80588,0
341,13.7763,0
342,13.81651,0
343,13.76758,0
344,13.76545,0
345,13.68056,0
346,13.55716,0
347,13.34227,0
348,13.21014,0
349,13.01228,0
350,12.82313,0
351,12.58271,0
352,12.46782,0
353,12.28463,0
354,12.22102,0
355,12.02081,0
356,11.91464,0
357,11.75507,0
358,11.55273,0
359,11.30806,0
360,11.12083,0
361,10.89956,0
362,10.75488,0
363,10.56573,0
364,10.32297,0
365,10.11681,0
366,9.95298,0
367,9.706177,0
368,9.427246,0
369,9.227464,0
370,9.008106,0
371,8.753006,0
372,8.489182,0
373,8.295356,0
374,8.135997,0
375,7.920896,0
376,7.701964,0
377,7.476437,0
378,7.308355,0
379,7.065594,0
380,6.871982,0
381,6.729431,0
382,6.603902,0
383,6.395609,0
384,6.574115,0
385,6.327525,0
386,6.167954,0
387,6.074339,0
388,5.929448,0
389,5.829663,0
390,5.706262,0
391,5.614561,0
392,5.502011,0
393,5.389034,0
394,5.240314,0
395,5.159465,0
396,5.035851,0
397,4.910534,0
398,4.801813,0
399,4.69139,0
400,4.584796,0
401,4.52735,0
402,4.425438,0
403,4.308419,0
404,4.248633,0
405,4.248633,0
406,4.114594,0
407,4.097785,0
408,4.016936,0
409,3.942469,0
410,3.8763,0
